,data_transacao,transaction_count,total_transaction_value,average_transaction_value
77,2016-07-31 00:00:00+00:00,269,78663.8,292.43048327137546
78,2016-08-31 00:00:00+00:00,256,216345.79,845.1007421875
79,2016-09-30 00:00:00+00:00,235,134472.3,572.2225531914893
80,2016-10-31 00:00:00+00:00,236,86624.79999999999,367.05423728813554
81,2016-11-30 00:00:00+00:00,251,39611.47,157.81462151394422
82,2016-12-31 00:00:00+00:00,173,123966.76000000001,716.5708670520232
83,2017-01-31 00:00:00+00:00,278,176700.98,635.615035971223
84,2017-02-28 00:00:00+00:00,219,197771.83000000002,903.0677168949773
85,2017-03-31 00:00:00+00:00,308,214059.71000000002,694.9990584415585
86,2017-04-30 00:00:00+00:00,289,415164.0,1436.5536332179931
87,2017-05-31 00:00:00+00:00,329,135187.91,410.90550151975685
88,2017-06-30 00:00:00+00:00,301,185929.89,617.7072757475083
89,2017-07-31 00:00:00+00:00,257,158054.03,614.9962256809339
90,2017-08-31 00:00:00+00:00,312,-2163.880000000002,-6.935512820512827
91,2017-09-30 00:00:00+00:00,334,540809.5700000001,1619.1903293413175
92,2017-10-31 00:00:00+00:00,345,210967.36,611.4995942028985
93,2017-11-30 00:00:00+00:00,349,254793.55000000002,730.0674785100286
94,2017-12-31 00:00:00+00:00,233,178546.78,766.2951931330472
95,2018-01-31 00:00:00+00:00,279,171871.53999999998,616.0270250896057
96,2018-02-28 00:00:00+00:00,270,75396.63,279.2467777777778
97,2018-03-31 00:00:00+00:00,400,197733.08,494.3327
98,2018-04-30 00:00:00+00:00,303,162640.09,536.7659735973597
99,2018-05-31 00:00:00+00:00,365,287727.56,788.2946849315068
100,2018-06-30 00:00:00+00:00,346,156797.16,453.17098265895953
101,2018-07-31 00:00:00+00:00,378,139592.42,369.29211640211645
102,2018-08-31 00:00:00+00:00,308,233172.05,757.0521103896103
103,2018-09-30 00:00:00+00:00,262,359584.77,1372.4609541984732
104,2018-10-31 00:00:00+00:00,287,23560.719999999998,82.09310104529615
105,2018-11-30 00:00:00+00:00,370,367413.86,993.0104324324324
106,2018-12-31 00:00:00+00:00,377,316682.07,840.0054907161804
107,2019-01-31 00:00:00+00:00,433,349961.83,808.225935334873
108,2019-02-28 00:00:00+00:00,453,131094.66,289.3921854304636
109,2019-03-31 00:00:00+00:00,436,150041.14,344.1310550458716
110,2019-04-30 00:00:00+00:00,361,634176.63,1756.7219667590027
111,2019-05-31 00:00:00+00:00,440,81516.03,185.26370454545454
112,2019-06-30 00:00:00+00:00,490,328077.52999999997,669.5459795918367
113,2019-07-31 00:00:00+00:00,552,118079.15,213.9115036231884
114,2019-08-31 00:00:00+00:00,474,611690.75,1290.4868143459917
115,2019-09-30 00:00:00+00:00,469,318370.65,678.8286780383796
116,2019-10-31 00:00:00+00:00,456,94094.45,206.34747807017544
117,2019-11-30 00:00:00+00:00,430,398914.26,927.7075813953488
118,2019-12-31 00:00:00+00:00,434,113149.6,260.71336405529956
119,2020-01-31 00:00:00+00:00,506,702306.55,1387.9576086956522
120,2020-02-29 00:00:00+00:00,386,132234.28,342.5758549222798
121,2020-03-31 00:00:00+00:00,464,136288.31,293.72480603448275
122,2020-04-30 00:00:00+00:00,437,112380.38,257.1633409610984
123,2020-05-31 00:00:00+00:00,359,95188.91,265.1501671309192
124,2020-06-30 00:00:00+00:00,492,70295.31999999999,142.87666666666667
125,2020-07-31 00:00:00+00:00,498,168355.5,338.06325301204816
126,2020-08-31 00:00:00+00:00,509,233165.65000000002,458.0857563850688
127,2020-09-30 00:00:00+00:00,456,849155.15,1862.1823464912281
128,2020-10-31 00:00:00+00:00,602,570339.28,947.4074418604652
129,2020-11-30 00:00:00+00:00,534,295084.79,552.5932397003745
130,2020-12-31 00:00:00+00:00,540,31660.789999999994,58.63109259259258
131,2021-01-31 00:00:00+00:00,569,166774.18,293.1004920913884
132,2021-02-28 00:00:00+00:00,515,-21850.040000000005,-42.42726213592234
133,2021-03-31 00:00:00+00:00,626,283576.47000000003,452.99755591054316
134,2021-04-30 00:00:00+00:00,646,37253.9,57.66857585139319
135,2021-05-31 00:00:00+00:00,653,83183.41,127.38653905053599
136,2021-06-30 00:00:00+00:00,647,-39333.42,-60.79353941267388
137,2021-07-31 00:00:00+00:00,633,33292.119999999995,52.594186413902044
138,2021-08-31 00:00:00+00:00,620,36486.11,58.84856451612903
139,2021-09-30 00:00:00+00:00,672,94543.51,140.6897470238095
140,2021-10-31 00:00:00+00:00,693,135931.88,196.149898989899
141,2021-11-30 00:00:00+00:00,717,128061.22,178.60700139470015
142,2021-12-31 00:00:00+00:00,786,40059.89,50.96678117048346
143,2022-01-31 00:00:00+00:00,770,455618.96,591.7129350649351
144,2022-02-28 00:00:00+00:00,625,76597.39,122.555824
145,2022-03-31 00:00:00+00:00,915,100625.23,109.97292896174864
146,2022-04-30 00:00:00+00:00,791,100088.54000000001,126.53418457648547
147,2022-05-31 00:00:00+00:00,826,236994.96,286.91883777239707
148,2022-06-30 00:00:00+00:00,807,-10834.609999999999,-13.425786864931846
149,2022-07-31 00:00:00+00:00,925,205788.73,222.47430270270272
150,2022-08-31 00:00:00+00:00,1085,318021.22000000003,293.1071152073733
151,2022-09-30 00:00:00+00:00,1230,413649.09,336.3000731707317
152,2022-10-31 00:00:00+00:00,1372,97435.74000000002,71.0173032069971
153,2022-11-30 00:00:00+00:00,1841,921909.1,500.76539923954374
154,2022-12-31 00:00:00+00:00,25319,4792582.69,189.28799281172243
155,2023-01-31 00:00:00+00:00,559,57191.71000000001,102.31075134168158
